opt_x,opt_y,outer_width,inner_width,center_x,center_y,outer_x,outer_y,inner_x,inner_y,curvature,ref_v,true_outer_x,true_outer_y,true_inner_x,true_inner_y,yaw,vx,vy,omega,acc,steer,dt
1.826652205963741,6.137366200039199,0.3939880974090457,0.20533014634972618,1.90226,6.20226,2.20123,6.45886,1.74645,6.06853,8.540121307202489e-07,1.4113311928346393,2.46793,6.76793,1.50707,5.80707,2.9748980629483297,1.4113311928346393,-1.2802561338019856,3.568290737762493,3.1842697693083046,-0.3740989026157381,0.016960274198536046
1.8066502190538696,6.162750358185195,0.4100109594876704,0.2081384589642189,1.87937,6.22877,2.18292,6.50439,1.72527,6.08886,1.2937248190696602,1.3957106827281234,2.43348,6.81392,1.4896,5.82454,3.0354172522710394,1.3957106827281234,-1.3184783255045416,3.431204496552469,3.1494126120421297,-0.3982058579788259,0.015619549165335323
1.7871550863408814,6.185538740419703,0.4270009560879222,0.20886539253787367,1.85536,6.25393,2.15689,6.55627,1.70787,6.10604,1.2396901019899158,1.381938803025764,2.39904,6.85991,1.47212,5.84201,3.0890111195917584,1.381938803025764,-1.3494678883907276,3.296513160605497,2.9773245842154163,-0.4149072733996089,0.015404424033142993
1.76698908644746,6.207416623864365,0.4383670254478547,0.20801139391869866,1.83043,6.27759,2.12442,6.60276,1.69093,6.12329,1.1889583022070467,1.3672026896336347,2.36459,6.90592,1.45464,5.85947,3.139792006142187,1.3672026896336347,-1.376131016357446,3.157916149530154,2.5098215773307486,-0.42426685749322524,0.0155644295479731
1.7457479585010551,6.228873600665343,0.41569736600079565,0.20764638450982045,1.80478,6.29966,2.07102,6.61891,1.67179,6.14019,1.3782586992369659,1.3468885864224538,2.33015,6.95192,1.43716,5.87692,3.1889431695648223,1.3468885864224538,-1.3989455683380554,3.0146423919692493,1.9600547955080505,-0.429893782588529,0.009445949225260668
1.7324141037774288,6.241470959923858,0.4021347854886468,0.20934027610567438,1.78785,6.31309,2.03401,6.63108,1.65971,6.14755,1.125750103621443,1.3307270536808589,2.26925,6.96328,1.43113,5.8829,3.217419328529305,1.3307270536808589,-1.409982360347708,2.9264658072788152,3.069579826086109,-0.4332600220749448,0.007511524842265105
1.7216447171449911,6.251274422894119,0.39230264567040657,0.21175588610473126,1.77417,6.32335,2.00524,6.64038,1.64945,6.15222,1.1532804636873442,1.3269740560043237,2.2001,6.95771,1.43082,5.88313,3.239401549138988,1.3269740560043237,-1.4172889034712586,2.855727057727415,4.705080663988591,-0.43505632886096396,0.008570654805893026
1.7091398373346165,6.262252848703205,0.3815278351575413,0.21544938384687912,1.75873,6.33432,1.975,6.64863,1.6366,6.15683,1.467054394454635,1.33740148821751,2.13097,6.95213,1.43048,5.88336,3.263876999969061,1.33740148821751,-1.4247363300458893,2.7747833499884313,2.808552249933145,-0.43562144101675704,0.009459527667601251
1.6949391601459247,6.274086351220203,0.3691461229648764,0.22069660260185253,1.74129,6.34597,1.94134,6.65621,1.62169,6.16049,1.0977162168232775,1.3317831349927562,1.99282,6.94098,1.4297,5.88383,3.2901251398386817,1.3317831349927562,-1.4325767484954794,2.6857469637233176,3.660125052154579,-0.4357224271651472,0.010492618247024306
1.6788946674155756,6.286884371782818,0.3570309618226408,0.2278547715102759,1.72165,6.35823,1.90516,6.66449,1.60453,6.16278,1.2532457614373644,1.3356066140173974,1.9238,6.93542,1.42926,5.88405,3.318305657435326,1.3356066140173974,-1.4398423586489846,2.5871518241946263,4.147732007971632,-0.43576806830158643,0.011559967668097854
1.660769520209859,6.30055550027238,0.344916925940146,0.23719399760533566,1.6996,6.37096,1.86617,6.67299,1.58505,6.16326,1.3677776186246584,1.3468059298748793,1.86467,6.93065,1.42884,5.88423,3.348213048873584,1.3468059298748793,-1.4467418417022884,2.4789745196091504,6.89134131973539,-0.4357828615642139,0.011954615246422584
1.6414632577243868,6.314179788567314,0.3310454424999688,0.2489538248350477,1.675,6.38395,1.81841,6.68232,1.56715,6.15957,1.1772645791988594,1.392715095624227,1.80556,6.9259,1.4284,5.8844,3.3778482354594965,1.392715095624227,-1.4530504528674228,2.367777156662862,3.845713808736943,-0.4359208059221599,0.025559019249501595
1.598162859623412,6.341954830932293,0.3081870165986875,0.2718084731939017,1.625,6.40681,1.74286,6.69157,1.52106,6.15566,1.2665477084514922,1.4159790885453651,1.74649,6.92117,1.42794,5.88456,3.438366297381188,1.4159790885453651,-1.4688475455101224,2.13288541657152,5.071102526948272,-0.4359231779513874,0.02384191878865914
1.5556378402698494,6.365571514549342,0.2896591902564111,0.2903422712937266,1.575,6.42534,1.66427,6.7009,1.48552,6.14913,1.2490983696736717,1.4737370666450829,1.68744,6.91645,1.42744,5.8847,3.4892183782639665,1.4737370666450829,-1.4791448597325803,1.91643545336795,4.086126951599983,-0.435945387324606,0.02833616154224182
1.5020972460561088,6.390751474145042,0.2725445743360157,0.30745273067579043,1.515,6.44245,1.58101,6.70688,1.44054,6.14415,1.2417784085697414,1.5218484166591917,1.62842,6.91175,1.42693,5.88481,3.5435228028513093,1.5218484166591917,-1.4904792873003316,1.6635131786355843,5.964008858130416,-0.4359332506357607,0.022532117374462958
1.4574016959553004,6.408244494787076,0.2418408205824653,0.3178019112591991,1.465,6.4528,1.50565,6.6912,1.41158,6.13952,1.2416709950624316,1.6096891395507313,1.51043,6.90244,1.42583,5.88497,3.5810052770416396,1.6096891395507313,-1.496083527921872,1.4656044877025294,6.58930891093879,-0.4359427298074425,0.02479065979365878
1.405509459426385,6.424833996545161,0.20301799181353353,0.32549302926483736,1.40921,6.46049,1.4302,6.66242,1.37557,6.13674,1.2762215307575768,1.7278216822637589,1.45146,6.89783,1.42526,5.885,3.6173385792830564,1.7278216822637589,-1.502796728027071,1.2518541923300592,7.763532582649894,-0.4359421994924987,0.02363385736619685
1.3529422588143711,6.437704237715735,0.17538535999335836,0.3293354103342066,1.35395,6.46434,1.36058,6.6396,1.3415,6.13524,1.2382426354784681,1.874340391427419,1.39249,6.89325,1.42468,5.88499,3.6469247227027326,1.874340391427419,-1.5097490239059697,1.0522258553430897,7.9476674230613025,-0.4359425659796974,0.022715692073187452
1.2990847117357154,6.447101417140023,0.1524192769960545,0.3296653248371748,1.29868,6.46467,1.29522,6.61705,1.30618,6.13509,1.1022968003429556,2.0248179537808584,1.33353,6.8887,1.4241,5.88496,3.6708267612197556,2.0248179537808584,-1.5171372823660725,0.8641938477697216,8.133087607572147,-0.4359380528671789,0.020654558500660135
1.2471638729677508,6.453035660808095,0.14354245678543998,0.3268911063335927,1.24643,6.46189,1.23455,6.60494,1.27348,6.13612,0.8859173458049334,2.1702794525998437,1.27457,6.88419,1.42353,5.88489,3.6886763036008148,2.1702794525998437,-1.5232022321427403,0.6961893439765139,7.195368709994087,-0.435940812888286,0.02193853405551408
1.1891170409621121,6.456807047237078,0.13626175435535778,0.32058164389122473,1.18929,6.45558,1.1705,6.59054,1.23349,6.13806,0.7258306439461858,2.3088973954005754,1.21559,6.87971,1.42296,5.88479,3.703949677229568,2.3088973954005754,-1.527868935346236,0.5203076374575928,6.737849989997477,-0.4359365548169329,0.021443167443720365
1.129763196323365,6.458126152923964,0.1320303821095737,0.31097602801502244,1.13214,6.44598,1.10677,6.57555,1.1919,6.1408,0.5990801408039172,2.439584217316228,1.1566,6.87527,1.42241,5.88466,3.7151067210190853,2.439584217316228,-1.5287059971432468,0.3505882220270166,6.196074325450477,-0.43593000227931294,0.02108401655885569
1.0690685158615694,6.457291754037226,0.1304001276839865,0.29821166610312155,1.075,6.43321,1.04383,6.55983,1.14627,6.14364,0.5352885760654834,2.5615361701704638,1.03856,6.86645,1.42137,5.88432,3.7224985288953603,2.5615361701704638,-1.5247248656739911,0.18557638093449846,6.932064233996929,-0.43590481866009323,0.017548509497497946
1.0168073433724198,6.454991046641991,0.13089301709411402,0.28540617600185125,1.02708,6.42012,0.990098,6.54568,1.10771,6.14634,0.4803842770427242,2.6799616325999436,1.02824,6.86554,1.36461,5.88446,3.72575511777687,2.6799616325999436,-1.5165860099896784,0.049612072447492425,7.603167626180656,-0.43587385247932703,0.0170825779543617
0.9643304556190336,6.451354092747117,0.13253128106601852,0.2705070794360104,0.979865,6.40519,0.937596,6.5308,1.06614,6.14881,0.46216954501081026,2.8098814269175993,1.02775,6.86538,1.30797,5.88462,3.7266026198702593,2.8098814269175993,-1.5044043101930722,-0.08160338896653203,7.142580052153468,-0.4358681847252581,0.016421996773523503
0.9122175434616615,6.44647008647031,0.13656613818952362,0.2595022314451264,0.933765,6.38872,0.886025,6.51667,1.02448,6.14559,0.4222529579198852,2.930103821960556,1.02723,6.86525,1.25134,5.88475,3.7252625292787203,2.930103821960556,-1.4882791368056307,-0.20668928926834035,8.132631061289302,-0.4358320246394233,0.013263700065558728
0.86890906080155,6.441524550880697,0.14256314379600396,0.25592866731962594,0.895948,6.37388,0.843035,6.50626,0.990932,6.13623,0.5106085426084283,3.042527363760485,0.970901,6.85117,1.22248,5.88468,3.7225210645383315,3.042527363760485,-1.47137238348551,-0.30695349003712025,9.996561852467394,-0.435676017329083,0.0065543952250153885
0.8469459314768284,6.438642314681409,0.14861069451758901,0.2561147152917999,0.877964,6.36642,0.819319,6.50297,0.979031,6.13109,0.2740423863422086,3.111133553311486,0.914105,6.83699,1.22192,5.88452,3.720509170048444,3.111133553311486,-1.4613334754449452,-0.35617477864994074,7.119266485620033,-0.43582153564394915,0.01331729858277498
0.8016176603923939,6.4322641649782595,0.15880425673136134,0.2530381228609633,0.838769,6.34932,0.773853,6.49425,0.942208,6.11839,0.3082310659247606,3.2130025132063755,0.857293,6.82285,1.22138,5.88432,3.715765884173006,3.2130025132063755,-1.439143253218896,-0.45588305590460504,7.685106185923032,-0.43578790870714135,0.011444825656460598
0.7617962123728332,6.426121176459575,0.17067707791323367,0.2536780450571159,0.805304,6.33387,0.732499,6.48824,0.913516,6.10443,0.29115172872401546,3.308402933914955,0.743511,6.79451,1.17792,5.86264,3.7105483820780005,3.308402933914955,-1.416725358672188,-0.5410814129587687,7.888946722289373,-0.4356587467331268,0.01037958529556005
0.724943754887706,6.420008945352105,0.18016747130378402,0.25390024042721987,0.774522,6.31902,0.695126,6.48075,0.886405,6.0911,0.27205577156022087,3.398048125168914,0.686588,6.78033,1.14913,5.84824,3.7049321814000042,3.398048125168914,-1.393604323106745,-0.6179492379304189,8.15712204164273,-0.43435060955802324,0.009404229829324939
0.6909270369503276,6.414024647855751,0.19064882031893027,0.2534797310259742,0.746263,6.30489,0.660046,6.47493,0.860892,6.07881,0.2573460020461913,3.482574710476978,0.629657,6.76615,1.12034,5.83385,3.699120844743384,3.482574710476978,-1.3702130000251729,-0.6870945356798118,8.494922921867099,-0.4302213379256721,0.008509891853429754
0.6596092798677166,6.408238933322776,0.19989733278860883,0.2561042230108674,0.720328,6.29154,0.628062,6.46887,0.83854,6.06435,0.2449328845787923,3.562550050291247,0.570078,6.76639,1.11992,5.83361,3.6932737445515107,3.562550050291247,-1.3469090334938352,-0.7488719321040367,8.772143612057242,-0.4233084066350902,0.007792945721498292
0.6304639111813863,6.402627118747866,0.2099661619975943,0.2610701675814374,0.696503,6.279,0.597575,6.4642,0.819502,6.04872,0.18006117614237224,3.638430038790079,0.510465,6.76663,1.11953,5.83337,3.6874378262321885,3.638430038790079,-1.3236931846917366,-0.8044130099780401,5.036172346187106,-0.41387102887751975,0.011566665911593187
0.5865463397182094,6.393865240934003,0.22407631986445994,0.27243145034301786,0.659895,6.25926,0.552677,6.45602,0.790251,6.02004,0.13380918746215636,3.7084603089376973,0.440877,6.76691,1.11912,5.83309,3.6781334496908014,3.7084603089376973,-1.2865629105732102,-0.8849037390745192,5.247726521065654,-0.4008490610950825,0.010238121306119775
0.547180740890877,6.385778549770591,0.22863830199903015,0.28399869247762455,0.627332,6.24131,0.516411,6.44124,0.765109,5.99297,0.1425359157798116,3.773345406025015,0.384369,6.75156,1.11876,5.83281,3.6690736978659833,3.773345406025015,-1.2503990074932496,-0.9538013516025152,7.451212475560657,-0.38483546092953286,0.007135903616750313
0.5194230562729949,6.37993493672872,0.2253129630447393,0.2898731815742873,0.604524,6.22854,0.49412,6.42495,0.74656,5.97585,0.1615848328143258,3.83468705886431,0.328469,6.73311,1.11841,5.83252,3.66226746335153,3.83468705886431,-1.2231022848931024,-0.9998782706900036,7.685214930389724,-0.3668271624628394,0.006561039740703777
0.49360549736609516,6.374380335760603,0.22490853818608128,0.29731654091388826,0.583083,6.21643,0.472226,6.41212,0.729632,5.95774,0.15606404950148756,3.892849481287351,0.238296,6.67415,1.09608,5.81022,3.655707222281804,3.892849481287351,-1.1965379681526558,-1.0402833071708033,7.877799338586158,-0.34705746154542666,0.006083494195685828
0.4694051790780354,6.369072463855549,0.2269486083588094,0.30310206340604134,0.56286,6.20494,0.450566,6.40216,0.712831,5.94154,0.15202507534593207,3.9481168496248524,0.231788,6.66766,1.06437,5.76696,3.649378664820925,3.9481168496248524,-1.1706370106040815,-1.0757566908813567,8.224763623847114,-0.32571973185212283,0.0055700285022535975
0.4470182818188001,6.364077164271499,0.2309164782426756,0.3086197797679209,0.544007,6.19418,0.429525,6.39472,0.697015,5.92616,0.157818950887011,4.000769576706783,0.231441,6.66735,1.0301,5.7188,3.643386669391408,4.000769576706783,-1.1458339126276005,-1.106264016581816,9.654199816964873,-0.30300334365922776,0.004594629973719677
0.42837003844533683,6.359851069089398,0.2356803850153851,0.31432808201145473,0.528181,6.18514,0.411272,6.38978,0.684102,5.91221,0.15579050106604622,4.050840150673709,0.231088,6.66707,0.995835,5.67063,3.63830379558215,4.050840150673709,-1.1245428941619833,-1.1296885807453239,8.790291776414147,-0.27919037158526866,0.004811699345324755
0.40865554090633904,6.355319761931685,0.24213518991670763,0.31904566980919824,0.511281,6.17549,0.391267,6.38579,0.669413,5.89839,0.14448302522532894,4.099168553389349,0.230733,6.66681,0.961574,5.62242,3.6328680737778773,4.099168553389349,-1.1014848009245324,-1.1522978867630573,9.002911118283995,-0.2542736243606092,0.004510489216940399
0.3900092053236458,6.350978091444637,0.24950466064584803,0.323632873807653,0.495136,6.16628,0.371714,6.38312,0.655233,5.88502,0.14582371548578266,4.145456633892393,0.230379,6.66657,0.927314,5.5742,3.6276706465850617,4.145456633892393,-1.0791630980925857,-1.1715890513141292,9.751372270468002,-0.22836562338237631,0.003980856447517149
0.3734112637708372,6.347067166007517,0.25721636266769615,0.328764482760836,0.480273,6.15784,0.353791,6.38181,0.641938,5.87157,0.07764172938317777,4.189294892971857,0.230026,6.66635,0.893051,5.52595,3.6230067187564208,4.189294892971857,-1.0588812339538247,-1.1868543815073818,2.5505942105488653,-0.20161920475408773,0.010565755513937344
0.3289987341534867,6.33648818425996,0.2793376752767162,0.34068608311024395,0.440909,6.13566,0.304936,6.37967,0.606744,5.83806,0.03787847149691413,4.229545838961404,0.229337,6.66599,0.824509,5.4294,3.610466705530774,4.229545838961404,-1.003657054942293,-1.2225085774733633,1.1617448418125291,-0.1729527849876125,0.014351287935826995
0.268341322144625,6.321908478439821,0.3094936248471046,0.36373432318658067,0.386364,6.10551,0.238175,6.37722,0.560522,5.78618,0.026325470628287804,4.263896735487801,0.229003,6.66584,0.790228,5.38109,3.5929221329315184,4.263896735487801,-0.9258374668642337,-1.2637921905793619,0.8767544087860237,-0.14231061134222037,0.014042194168256214
